kATAIdentifyExtendedInfoSupport;IIOATAStorageDefines
kmod_create;Ihost_priv
NSToolbarDidRemoveItemNotification;INSToolbar
eParameterReceiveError;IDirServicesTypes.tDirStatus
NSPauseFunctionKey;INSEvent
kIOFBBlitBeamSyncAlways;IIOGraphicsLib
errFSMissingCatInfo;IMacErrors
kTextEncodingMacVT100;ITextCommon
kABPhoneMobileLabel;IABGlobalsC
NSRightMouseDownMask;INSEvent
fsSBFlXFndrInfoBit;IFiles
smapSetUpVector;Iglsmap
smCharBidirect;IScript
NSWindowsNTOperatingSystem;INSProcessInfo
NSAllDomainsMask;INSPathUtilities
QTTimeRangeFromString;IQTTimeRange
urlDataHFTPBadUserErr;IMacErrors
kHIDUsage_BCS_DLMethodCheckInRange;IIOHIDUsageTables
errSecCSNoSuchCode;ICSCommon
kTextEncodingMacGurmukhi;ITextCommon
fsmBadFFSNameErr;IMacErrors
paramErr;IMacErrors
ATSUPositionToOffset;IATSUnicodeDrawing
kMenuSmallIconType;IMenus
kSecAsn1PointerToAnyTemplate;ISecAsn1Templates
kLSRequestExtensionFlagsOnly;ILSInfo
NSVCardPboardType;INSPasteboard
eServerReplyError;IDirServicesTypes.tDirStatus
kWSRecordNamespaceURI;IWSMethodInvocation
NSOpenGLCPSwapRectangleEnable;INSOpenGL.NSOpenGLContextParameter
NSWindowExposedEventType;INSEvent
kCGLFEglVertexAttrib2fARB;ICGLProfilerFunctionEnum
kSCSIParallelFeature_NoNegotiation;IIOSCSIParallelInterfaceController.
notAppropriateForClassic;IMacErrors
kABLastNamePhoneticProperty;IABGlobalsC
kNSLMinOTVersion;INSLCore
HClrRBit;IMacMemory
nativeEndianPixMapBit;IQDOffscreen
kControlDataBrowserPart;IControlDefinitions
kFSAliasInfoFSInfo;IAliases
kINQUIRY_PERIPHERAL_TYPE_ProcessorSPCDevice;ISCSICmds_INQUIRY_Definitions
kSecIdentityDomainDefault;ISecIdentity
shiftKey;IEvents
kCollatePatternNotFoundErr;IMacErrors
NSRedoFunctionKey;INSEvent
atRight;IIcons
kvImageEdgeExtend;IvImage_Types
kUTTypeDescriptionKey;IUTType
IOPMParameterError;IIOPM
NSPasteboardTypeString;INSPasteboard
telAlreadyOpen;IMacErrors
eIPCReceiveError;IDirServicesTypes.tDirStatus
telIntExtNotSupp;IMacErrors
langMacedonian;IScript
version_stage;Iversion
errSecCSInvalidObjectRef;ICSCommon
kCGLFECGLGetOffScreen;ICGLProfilerFunctionEnum
fsSBFlRPyLenBit;IFiles
langGalla;IScript
NSSystemDefined;INSEvent
kCGLFEglShadeModel;ICGLProfilerFunctionEnum
LMSetSysFontFam;ILowMem
kATSLineKeepSpacesOutOfMargin;IATSLayoutTypes
kIOPMCapabilitiesMask;IIOPM
kSCSICmd_SEEK_6;ISCSICommandOperationCodes
memory_object_default_server_routine;Imemory_object_default_server
kUSBCommClass;IUSBSpec
kVK_ANSI_KeypadEnter;IEvents
kClamshellStateBit;IIOPM
kHIDUsage_PID_PoolAlignment;IIOHIDUsageTables
routingNotFoundErr;IMacErrors
CSSM_WORDID_DSA;Icssmtype
kSecAsn1TeletexStringTemplate;ISecAsn1Templates
kBluetoothKeyTypeChangedCombination;IBluetooth
NSCreateFileContentsPboardType;INSPasteboard
kCGLFEglUniform4uivEXT;ICGLProfilerFunctionEnum
kLSAttributeNotFoundErr;ILSInfo
memory_object_default_server;Imemory_object_default_server
NSHandleTopLevelExceptionMask;INSExceptionHandler
bATAStatusCmdValid;IIOATATypes.ataRegMask
kSBCModePageCaching_RCD_Mask;ISCSICmds_MODE_Definitions
DRUDFWriteVersion;IDRFSObject
T_EXDATA;IOpenTransport
kTPEHCIAllocateQH;IUSBTracepoints
kHIDUsage_GD_SystemSleep;IIOHIDUsageTables
__glutSetFCB;Iglutf90
kHIDUsage_Game_GunDevice;IIOHIDUsageTables
NSDefaultTabIntervalDocumentAttribute;INSAttributedString
kBadSpeedErr;IMacErrors
eDSDirSrvcNotOpened;IDirServicesTypes.tDirStatus
kOTNoDisconnectErr;IMacErrors
kHyphensToEmDashOnSelector;ISFNTLayoutTypes
kIMKLocateCandidatesRightHint;IIMKCandidates
textParserNoMoreTokensErr;IMacErrors
durationMicrosecond;IDriverServices
kEMSGSIZEErr;IMacErrors
kIOAccelSurfaceWriteLock;IIOAccelSurfaceConnect.eIOAccelSurfaceMethods
kMenuNoCommandModifier;IMenus
DRDeviceCanWriteCDRawKey;IDRDevice
kTECTextRunBitClearFixBit;ITextCommon
kCJKItalicRomanOnSelector;ISFNTLayoutTypes
kBluetoothSDPAttributeIdentifierServiceDatabaseState;IBluetoothAssignedNumbers.SDPAttributeIdentifierCodes
noSoundTrackInMovieErr;IMacErrors
KTPOHCIRestartControllerFromReset;IUSBTracepoints
MBUF_TYPE_CONTROL;Ikpi_mbuf
NSHomeFunctionKey;INSEvent
kDVDFeaturesPlusRBit;IIOSCSIMultimediaCommandsDevice
kHIToolboxVersionNumber;IMacApplication
kATSLineUseDeviceMetrics;IATSLayoutTypes
TACCES;IOpenTransport
draw_segment_edge_n;Isegment
aeBuildSyntaxBadData;IAEHelpers
kABFirstNameProperty;IABGlobalsC
NSFoundationVersionNumber;INSObjCRuntime
kSecAsn1GeneralizedTimeTemplate;ISecAsn1Templates
fExtraExp;INumberFormatting
kTextEncodingJIS_X0201_76;ITextCommon
kUTTypeTIFF;IUTCoreTypes
fsSBFlParID;IFiles
kCGLFECGLTexImagePBuffer;ICGLProfilerFunctionEnum
DRDeviceCanWriteDVDPlusRDoubleLayerKey;IDRDevice
LSCanURLAcceptURL;ILSInfo
kCGLFEglRasterPos2iv;ICGLProfilerFunctionEnum
fsSBFlFndrInfoBit;IFiles
kASSelectGetPropertyNames;IASDebugging
kBluetoothDeviceClassMinorPhoneCellular;IBluetoothAssignedNumbers
kLSQuarantineTypeKey;ILSQuarantine
NSFindFunctionKey;INSEvent
kCGLFEglColor4sv;ICGLProfilerFunctionEnum
CSSM_WORDID_PROCESS;Icssmapple
CSSM_LIST_ELEMENT_DATUM;Icssmtype
kHIDUsage_BS_AverageCurrent;IIOHIDUsageTables
kFontMacedonianLanguage;ISFNTTypes
kHIDUsage_PID_NegativeSaturation;IIOHIDUsageTables
kFontNorwegianLanguage;ISFNTTypes
kCGLFEglColor4us;ICGLProfilerFunctionEnum
kDRCDTextGenreCodeReggae;IDRCoreCDText
kHIDUsage_Dig_Touch;IIOHIDUsageTables
NSOpenGLPFAClosestPolicy;INSOpenGL
QTZeroTime;IQTTime
kCTParagraphStyleAttributeName;ICTStringAttributes
kWindowCenterOnMainScreen;IMacWindows
NSImageNameIChatTheaterTemplate;INSImage
DADiskClaim;IDiskArbitration
FracSin;IFixMath
kSecAsn1SetOfAnyTemplate;ISecAsn1Templates
kCGLFEglColor4ui;ICGLProfilerFunctionEnum
kCGLFECGLDestroyPixelFormat;ICGLProfilerFunctionEnum
kHIDUsage_BS_RelativeStateOfCharge;IIOHIDUsageTables
icNothingToOverrideErr;IInternetConfig
kCGLFEglRasterPos3iv;ICGLProfilerFunctionEnum
kHIDUsage_AD_ClearDisplay;IIOHIDUsageTables
kHIDUsage_LED_EqualizerEnable;IIOHIDUsageTables
kHIDUsage_PID_DevicePaused;IIOHIDUsageTables
kOTNoDataErr;IMacErrors
kCGLFEglColor4ub;ICGLProfilerFunctionEnum
kWindowSupportsModifiedBit;IMacWindows
kUSBNotRespondingErr;IMacErrors
kUSBInterfaceUserClientGetMicroFrameNumber;IIOUSBUserClient
kSCSIParallelMessage_WIDE_DATA_TRANSFER_REQUEST;IIOSCSIParallelInterfaceController.SCSIParallelMessages
NSUndoManagerCheckpointNotification;INSUndoManager
WebActionNavigationTypeKey;IWebPolicyDelegate
kCTUnderlineStyleThick;ICTStringAttributes
kHIDUsage_LED_Reserved;IIOHIDUsageTables
kDRVolumeModificationDate;IDRContentProperties
kAXForegroundColorTextAttribute;IAXTextAttributedString
kUIOptionDisableAppleMenu;IMacApplication
eDSLocalNodeNames;IDirServicesTypes.tDirPatternMatch
kAlignCenterBottom;IIcons
T_ALL;IOpenTransport
urlDataHFTPNoDirectoryErr;IMacErrors
lck_rw_lock_exclusive;Ilocks
kHIDUsage_PD_ConfigFrequency;IIOHIDUsageTables
kHIDUsage_PD_ConfigPercentLoad;IIOHIDUsageTables
PMCopyPageFormat;IPMCore
kOTNotSupportedErr;IMacErrors
kSCSICDBSize_Maximum;ISCSITask
kHIDUsage_PID_Duration;IIOHIDUsageTables
kNotTerminated;IIOFireWireNub.TerminationState
kIOAccelSurfaceLockInDontCare;IIOAccelSurfaceConnect.eIOAccelSurfaceLockBits
do_mach_notify_dead_name;Inotify_server
kIOHIDQueueOptionsTypeEnqueueAll;IIOHIDKeys
kIOPCISlotIDCapability;IIOPCIDevice
IOFBGetFramebufferOffsetForAperture;IIOGraphicsLib
kTextEncodingMacCroatian;ITextCommon
AESendMessage;IAEMach
errControlIsNotEmbedder;IMacErrors
errOSANumericOverflow;IMacErrors
NSF16FunctionKey;INSEvent
DRDeviceMediaTypeHDDVDR;IDRDevice
kIOPacketFilterPromiscuous;IIONetworkController
kTooManyIOWindowsErr;IMacErrors
eDSInvalidRecordType;IDirServicesTypes.tDirStatus
kSCSITaskStatus_CONDITION_MET;ISCSITask.SCSITaskStatus
kCGLFECGLGetFullScreen;ICGLProfilerFunctionEnum
kDiscStatusOther;IIOSCSIMultimediaCommandsDevice
deviceIsDCISurface;IQDOffscreen
U64Divide;IMath64
memory_object_create;Imemory_object_default_server
kSCSICmd_WRITE_SAME;ISCSICommandOperationCodes
CSSM_WORDID_GENKEY;Icssmtype
kNSLNoContextAvailable;IMacErrors
kHIToolbarDisplayModeLabelOnly;IHIToolbar
kCGLFEglMultiTexCoord1sv;ICGLProfilerFunctionEnum
kHIDUsage_BCS_DecodedData;IIOHIDUsageTables
ICScannerDocumentTypeUSExecutive;IICScannerFunctionalUnits
NSEnumerateMapTable;INSMapTable
NSDeviceCMYKColorSpace;INSGraphics
btNoSpace;IMacErrors
kHIDUsage_Csmr_VCRPlus;IIOHIDUsageTables
kCGLFEglMapVertexAttrib2fARB;ICGLProfilerFunctionEnum
OSADuplicateHandler;IMacErrors
thread_assign;Ithread_act
errAENotModifiable;IMacErrors
kCGLFEglProgramLocalParameter4dARB;ICGLProfilerFunctionEnum
kHIWindowBitNoActivates;IMacWindows
eDSPermissionError;IDirServicesTypes.tDirStatus
kSecValueData;ISecItem
kIOPMRawLowBattery;IIOPM
kCGLFEglRasterPos3fv;ICGLProfilerFunctionEnum
kHIDUsage_PD_AudibleAlarmControl;IIOHIDUsageTables
floatProc;IMacWindows
kIOAudioEngineCallGetNearestStartTime;IIOAudioTypes.IOAudioEngineCalls
kUTTypeDiskImage;IUTCoreTypes
kSCSIServiceAction_XDWRITEREAD_32;ISCSICommandOperationCodes
kNoCardEnablersFoundErr;IMacErrors
kSecAsn1PointerToUTF8StringTemplate;ISecAsn1Templates
kEventAccessiblePerformNamedAction;IHIAccessibility
iMemFullErr;IMacErrors
kHIDUsage_Csmr_ACZoom;IIOHIDUsageTables
kDRCDTextGenreCodeSoundEffects;IDRCoreCDText
type1CFFStreamType;IScalerStreamTypes
kAVCRecSpeedStandard;IDVFamily
kHIToolbarAutoSavesConfig;IHIToolbar
resProblem;IMacErrors
kHIDRqSetProtocol;IUSBSpec
WebJNIReturnTypeLong;IWebJavaPlugIn.WebJNIReturnType
eDSAuthNewPasswordRequired;IDirServicesTypes.tDirStatus
NSDataReadingMapped;INSData
badRoutingSizeErr;IMacErrors
kTPUHCIUIMCreateIsochTransfer;IUSBTracepoints
NSViewMaxXMargin;INSView
kSCSICmd_SET_LIMITS_10;ISCSICommandOperationCodes
kHIWindowBitInWindowMenu;IMacWindows
kSCSICmd_SET_LIMITS_12;ISCSICommandOperationCodes
NSRectFromString;INSGeometry
alGetBooleanv;Ial
kextd_ping;Ikextd_mach
alGetFloatv;Ial
kCGLFEglIsTexture;ICGLProfilerFunctionEnum
langUkrainian;IScript
kBluetoothSDPUUID16ServiceClassHeadsetAudioGateway;IBluetoothAssignedNumbers.SDPServiceClasses
I_GWROPT;IOpenTransportProtocol
kMenuAttrExcludesMarkColumn;IMenus
ATSUSetRunStyle;IATSUnicodeObjects
longMonth;IIntlResources
mapChangedBit;IResources
NSMultipleTextSelectionPboardType;INSPasteboard
